combination_mpg,displacement,Engine HP,Number of Doors,Vehicle Size,Vehicle Style,MSRP
24,2.0,268.0,4.0,Compact,Sedan,31195
24,2.0,305.0,4.0,Compact,Sedan,38495
24,2.0,305.0,4.0,Compact,Sedan,34495
24,2.0,268.0,4.0,Compact,Sedan,29995
24,2.0,268.0,4.0,Compact,Sedan,29695
24,2.0,268.0,4.0,Compact,Sedan,26295
24,2.0,268.0,4.0,Compact,Sedan,28495
19,2.5,305.0,4.0,Compact,Sedan,37395
19,2.5,268.0,4.0,Compact,Sedan,31195
19,2.5,305.0,4.0,Compact,Sedan,38495
19,2.5,305.0,4.0,Compact,Sedan,34495
19,2.5,268.0,4.0,Compact,Sedan,29995
19,2.5,268.0,4.0,Compact,Sedan,29695
19,2.5,268.0,4.0,Compact,Sedan,26295
19,2.5,268.0,4.0,Compact,Sedan,28495
30,2.5,184.0,4.0,Midsize,Sedan,22995
30,2.5,184.0,4.0,Midsize,Sedan,24995
30,2.5,184.0,4.0,Midsize,Sedan,21495
30,2.5,184.0,4.0,Midsize,Sedan,30195
30,2.5,184.0,4.0,Midsize,Sedan,23945
32,2.5,184.0,4.0,Midsize,Sedan,22995
32,2.5,184.0,4.0,Midsize,Sedan,24995
32,2.5,184.0,4.0,Midsize,Sedan,21495
32,2.5,184.0,4.0,Midsize,Sedan,30195
32,2.5,184.0,4.0,Midsize,Sedan,23945
29,2.5,184.0,4.0,Midsize,Sedan,22995
29,2.5,184.0,4.0,Midsize,Sedan,24995
29,2.5,184.0,4.0,Midsize,Sedan,21495
29,2.5,184.0,4.0,Midsize,Sedan,30195
29,2.5,184.0,4.0,Midsize,Sedan,23945
14,6.8,505.0,4.0,Large,Sedan,303700
14,6.8,530.0,4.0,Large,Sedan,335600
31,1.6,132.0,3.0,Compact,2dr Hatchback,19100
31,1.6,132.0,3.0,Compact,2dr Hatchback,18000
31,1.6,201.0,3.0,Compact,2dr Hatchback,23950
31,1.6,201.0,3.0,Compact,2dr Hatchback,21600
31,1.6,132.0,3.0,Compact,2dr Hatchback,19100
31,1.6,132.0,3.0,Compact,2dr Hatchback,18000
31,1.6,201.0,3.0,Compact,2dr Hatchback,23800
31,1.6,201.0,3.0,Compact,2dr Hatchback,22600
31,1.6,201.0,3.0,Compact,2dr Hatchback,23800
31,1.6,201.0,3.0,Compact,2dr Hatchback,22600
30,1.6,132.0,3.0,Compact,2dr Hatchback,19100
30,1.6,132.0,3.0,Compact,2dr Hatchback,18000
30,1.6,201.0,3.0,Compact,2dr Hatchback,23950
30,1.6,201.0,3.0,Compact,2dr Hatchback,21600
30,1.6,132.0,3.0,Compact,2dr Hatchback,19100
30,1.6,132.0,3.0,Compact,2dr Hatchback,18000
30,1.6,201.0,3.0,Compact,2dr Hatchback,23800
30,1.6,201.0,3.0,Compact,2dr Hatchback,22600
30,1.6,201.0,3.0,Compact,2dr Hatchback,23800
30,1.6,201.0,3.0,Compact,2dr Hatchback,22600
27,2.0,173.0,4.0,Compact,4dr Hatchback,18800
27,2.0,173.0,4.0,Compact,4dr Hatchback,19800
112,,66.0,4.0,Compact,4dr Hatchback,22995
29,2.4,201.0,4.0,Compact,Sedan,34890
29,2.4,201.0,4.0,Compact,Sedan,29900
29,2.4,201.0,4.0,Compact,Sedan,29200
29,2.4,201.0,4.0,Compact,Sedan,31890
29,2.4,201.0,4.0,Compact,Sedan,32900
29,2.4,201.0,4.0,Compact,Sedan,27900
27,2.0,173.0,4.0,Compact,4dr Hatchback,18800
27,2.0,173.0,4.0,Compact,4dr Hatchback,19800
23,3.5,310.0,4.0,Midsize,Sedan,54450
23,3.5,377.0,4.0,Midsize,Sedan,59950
23,3.5,310.0,4.0,Midsize,Sedan,60450
23,3.5,377.0,4.0,Midsize,Sedan,65950
23,3.5,310.0,4.0,Midsize,Sedan,50950
19,3.8,545.0,2.0,Midsize,Coupe,111510
19,3.8,600.0,2.0,Midsize,Coupe,149990
19,3.8,545.0,2.0,Midsize,Coupe,101770
29,1.6,132.0,3.0,Compact,2dr Hatchback,19100
29,1.6,132.0,3.0,Compact,2dr Hatchback,18000
29,1.6,201.0,3.0,Compact,2dr Hatchback,23950
29,1.6,201.0,3.0,Compact,2dr Hatchback,21600
29,1.6,132.0,3.0,Compact,2dr Hatchback,19100
29,1.6,132.0,3.0,Compact,2dr Hatchback,18000
29,1.6,201.0,3.0,Compact,2dr Hatchback,23800
29,1.6,201.0,3.0,Compact,2dr Hatchback,22600
29,1.6,201.0,3.0,Compact,2dr Hatchback,23800
29,1.6,201.0,3.0,Compact,2dr Hatchback,22600
28,1.6,132.0,3.0,Compact,2dr Hatchback,19100
28,1.6,132.0,3.0,Compact,2dr Hatchback,18000
28,1.6,201.0,3.0,Compact,2dr Hatchback,23950
28,1.6,201.0,3.0,Compact,2dr Hatchback,21600
28,1.6,132.0,3.0,Compact,2dr Hatchback,19100
28,1.6,132.0,3.0,Compact,2dr Hatchback,18000
28,1.6,201.0,3.0,Compact,2dr Hatchback,23800
28,1.6,201.0,3.0,Compact,2dr Hatchback,22600
28,1.6,201.0,3.0,Compact,2dr Hatchback,23800
28,1.6,201.0,3.0,Compact,2dr Hatchback,22600
18,5.0,429.0,4.0,Large,Sedan,68750
18,5.0,429.0,4.0,Large,Sedan,61500
20,3.3,276.0,4.0,Midsize,Passenger Minivan,28500
20,3.3,276.0,4.0,Midsize,Passenger Minivan,26400
20,3.3,276.0,4.0,Midsize,Passenger Minivan,39900
20,3.3,276.0,4.0,Midsize,Passenger Minivan,32700
20,3.3,276.0,4.0,Midsize,Passenger Minivan,36400
20,3.6,440.0,4.0,Midsize,4dr SUV,95500
20,3.6,420.0,4.0,Midsize,4dr SUV,74800
20,3.6,520.0,4.0,Midsize,4dr SUV,114700
20,3.6,300.0,4.0,Midsize,4dr SUV,58300
20,3.6,570.0,4.0,Midsize,4dr SUV,157300
20,3.6,240.0,4.0,Midsize,4dr SUV,62300
21,3.0,333.0,4.0,Large,4dr SUV,58800
21,3.0,333.0,4.0,Large,4dr SUV,64300
21,3.0,333.0,4.0,Large,4dr SUV,54800
32,2.0,147.0,4.0,Compact,Sedan,18150
32,2.0,147.0,4.0,Compact,Sedan,22350
32,2.0,147.0,4.0,Compact,Sedan,18150
32,2.0,128.0,4.0,Compact,Sedan,20650
32,2.0,147.0,4.0,Compact,Sedan,17150
32,2.0,147.0,4.0,Compact,Sedan,22350
32,2.0,201.0,4.0,Compact,Sedan,22750
32,2.0,201.0,4.0,Compact,Sedan,21650
32,2.0,147.0,4.0,Compact,Sedan,20250
29,2.0,147.0,4.0,Compact,Sedan,18150
29,2.0,147.0,4.0,Compact,Sedan,22350
29,2.0,147.0,4.0,Compact,Sedan,18150
29,2.0,128.0,4.0,Compact,Sedan,20650
29,2.0,147.0,4.0,Compact,Sedan,17150
29,2.0,147.0,4.0,Compact,Sedan,22350
29,2.0,201.0,4.0,Compact,Sedan,22750
29,2.0,201.0,4.0,Compact,Sedan,21650
29,2.0,147.0,4.0,Compact,Sedan,20250
22,3.6,310.0,4.0,Midsize,4dr SUV,62500
22,3.6,310.0,4.0,Midsize,4dr SUV,51895
22,3.6,310.0,4.0,Midsize,4dr SUV,38995
22,3.6,310.0,4.0,Midsize,4dr SUV,47390
22,3.6,310.0,4.0,Midsize,4dr SUV,44895
22,3.6,310.0,4.0,Midsize,4dr SUV,54390
36,1.2,78.0,4.0,Compact,4dr Hatchback,14795
36,1.2,78.0,4.0,Compact,4dr Hatchback,12995
36,1.2,78.0,4.0,Compact,4dr Hatchback,14195
36,1.2,78.0,4.0,Compact,4dr Hatchback,15995
36,1.2,78.0,4.0,Compact,4dr Hatchback,16495
39,1.2,78.0,4.0,Compact,4dr Hatchback,14795
39,1.2,78.0,4.0,Compact,4dr Hatchback,12995
39,1.2,78.0,4.0,Compact,4dr Hatchback,14195
39,1.2,78.0,4.0,Compact,4dr Hatchback,15995
39,1.2,78.0,4.0,Compact,4dr Hatchback,16495
22,3.6,287.0,4.0,Midsize,Passenger Minivan,42495
22,3.6,287.0,4.0,Midsize,Passenger Minivan,30495
22,3.6,287.0,4.0,Midsize,Passenger Minivan,28595
22,3.6,287.0,4.0,Midsize,Passenger Minivan,37895
22,3.6,287.0,4.0,Midsize,Passenger Minivan,34495
112,,66.0,4.0,Compact,4dr Hatchback,22995
17,5.2,540.0,2.0,Compact,Coupe,162900
17,5.2,610.0,2.0,Compact,Coupe,189900
28,2.0,252.0,4.0,Midsize,Sedan,37300
28,2.0,190.0,4.0,Midsize,Sedan,34900
28,2.0,252.0,4.0,Midsize,Sedan,48000
28,2.0,252.0,4.0,Midsize,Sedan,43200
28,2.0,252.0,4.0,Midsize,Sedan,41100
28,2.0,252.0,4.0,Midsize,Sedan,45900
28,2.0,252.0,4.0,Midsize,Sedan,39400
28,2.0,190.0,4.0,Midsize,Sedan,38700
28,2.0,190.0,4.0,Midsize,Sedan,37850
28,2.0,252.0,4.0,Midsize,Sedan,42350
23,2.0,305.0,4.0,Compact,Sedan,39995
23,2.0,268.0,4.0,Compact,Sedan,26695
23,2.0,268.0,4.0,Compact,Sedan,30195
23,2.0,305.0,4.0,Compact,Sedan,39995
23,2.0,268.0,4.0,Compact,Sedan,30995
23,2.0,268.0,4.0,Compact,Sedan,32195
23,2.0,268.0,4.0,Compact,Sedan,28995
23,2.0,305.0,4.0,Compact,Sedan,35195
21,2.0,305.0,4.0,Compact,Sedan,39995
21,2.0,268.0,4.0,Compact,Sedan,26695
21,2.0,268.0,4.0,Compact,Sedan,30195
21,2.0,305.0,4.0,Compact,Sedan,39995
21,2.0,268.0,4.0,Compact,Sedan,30995
21,2.0,268.0,4.0,Compact,Sedan,32195
21,2.0,268.0,4.0,Compact,Sedan,28995
21,2.0,305.0,4.0,Compact,Sedan,35195
19,2.5,305.0,4.0,Compact,Sedan,39995
19,2.5,268.0,4.0,Compact,Sedan,26695
19,2.5,268.0,4.0,Compact,Sedan,30195
19,2.5,305.0,4.0,Compact,Sedan,39995
19,2.5,268.0,4.0,Compact,Sedan,30995
19,2.5,268.0,4.0,Compact,Sedan,32195
19,2.5,268.0,4.0,Compact,Sedan,28995
19,2.5,305.0,4.0,Compact,Sedan,35195
