combination_mpg,displacement,Make,Model,Year,Engine HP,Number of Doors,Vehicle Size,Vehicle Style,MSRP
32,2.0,hyundai,elantra,2017,147.0,4.0,Compact,Sedan,18150
32,2.0,hyundai,elantra,2017,128.0,4.0,Compact,Sedan,20650
32,2.0,hyundai,elantra,2017,147.0,4.0,Compact,Sedan,17150
32,2.0,hyundai,elantra,2017,147.0,4.0,Compact,Sedan,22350
32,2.0,hyundai,elantra,2017,201.0,4.0,Compact,Sedan,22750
32,2.0,hyundai,elantra,2017,201.0,4.0,Compact,Sedan,21650
32,2.0,hyundai,elantra,2017,147.0,4.0,Compact,Sedan,20250
29,2.0,hyundai,elantra,2017,147.0,4.0,Compact,Sedan,18150
29,2.0,hyundai,elantra,2017,147.0,4.0,Compact,Sedan,22350
29,2.0,hyundai,elantra,2017,147.0,4.0,Compact,Sedan,18150
29,2.0,hyundai,elantra,2017,128.0,4.0,Compact,Sedan,20650
29,2.0,hyundai,elantra,2017,147.0,4.0,Compact,Sedan,17150
29,2.0,hyundai,elantra,2017,147.0,4.0,Compact,Sedan,22350
29,2.0,hyundai,elantra,2017,201.0,4.0,Compact,Sedan,22750
29,2.0,hyundai,elantra,2017,201.0,4.0,Compact,Sedan,21650
29,2.0,hyundai,elantra,2017,147.0,4.0,Compact,Sedan,20250
22,3.6,cadillac,xt5,2017,310.0,4.0,Midsize,4dr SUV,62500
22,3.6,cadillac,xt5,2017,310.0,4.0,Midsize,4dr SUV,51895
22,3.6,cadillac,xt5,2017,310.0,4.0,Midsize,4dr SUV,38995
22,3.6,cadillac,xt5,2017,310.0,4.0,Midsize,4dr SUV,47390
22,3.6,cadillac,xt5,2017,310.0,4.0,Midsize,4dr SUV,44895
22,3.6,cadillac,xt5,2017,310.0,4.0,Midsize,4dr SUV,54390
36,1.2,mitsubishi,mirage,2017,78.0,4.0,Compact,4dr Hatchback,14795
36,1.2,mitsubishi,mirage,2017,78.0,4.0,Compact,4dr Hatchback,12995
36,1.2,mitsubishi,mirage,2017,78.0,4.0,Compact,4dr Hatchback,14195
36,1.2,mitsubishi,mirage,2017,78.0,4.0,Compact,4dr Hatchback,15995
36,1.2,mitsubishi,mirage,2017,78.0,4.0,Compact,4dr Hatchback,16495
39,1.2,mitsubishi,mirage,2017,78.0,4.0,Compact,4dr Hatchback,14795
39,1.2,mitsubishi,mirage,2017,78.0,4.0,Compact,4dr Hatchback,12995
39,1.2,mitsubishi,mirage,2017,78.0,4.0,Compact,4dr Hatchback,14195
39,1.2,mitsubishi,mirage,2017,78.0,4.0,Compact,4dr Hatchback,15995
39,1.2,mitsubishi,mirage,2017,78.0,4.0,Compact,4dr Hatchback,16495
22,3.6,chrysler,pacifica,2017,287.0,4.0,Midsize,Passenger Minivan,42495
22,3.6,chrysler,pacifica,2017,287.0,4.0,Midsize,Passenger Minivan,30495
22,3.6,chrysler,pacifica,2017,287.0,4.0,Midsize,Passenger Minivan,28595
22,3.6,chrysler,pacifica,2017,287.0,4.0,Midsize,Passenger Minivan,37895
22,3.6,chrysler,pacifica,2017,287.0,4.0,Midsize,Passenger Minivan,34495
112,,mitsubishi,i-miev,2017,66.0,4.0,Compact,4dr Hatchback,22995
17,5.2,audi,r8,2017,540.0,2.0,Compact,Coupe,162900
17,5.2,audi,r8,2017,610.0,2.0,Compact,Coupe,189900
28,2.0,audi,a4,2017,252.0,4.0,Midsize,Sedan,37300
28,2.0,audi,a4,2017,190.0,4.0,Midsize,Sedan,34900
28,2.0,audi,a4,2017,252.0,4.0,Midsize,Sedan,48000
28,2.0,audi,a4,2017,252.0,4.0,Midsize,Sedan,43200
28,2.0,audi,a4,2017,252.0,4.0,Midsize,Sedan,41100
28,2.0,audi,a4,2017,252.0,4.0,Midsize,Sedan,45900
28,2.0,audi,a4,2017,252.0,4.0,Midsize,Sedan,39400
28,2.0,audi,a4,2017,190.0,4.0,Midsize,Sedan,38700
28,2.0,audi,a4,2017,190.0,4.0,Midsize,Sedan,37850
28,2.0,audi,a4,2017,252.0,4.0,Midsize,Sedan,42350
23,2.0,subaru,wrx,2017,305.0,4.0,Compact,Sedan,39995
23,2.0,subaru,wrx,2017,268.0,4.0,Compact,Sedan,26695
23,2.0,subaru,wrx,2017,268.0,4.0,Compact,Sedan,30195
23,2.0,subaru,wrx,2017,305.0,4.0,Compact,Sedan,39995
23,2.0,subaru,wrx,2017,268.0,4.0,Compact,Sedan,30995
23,2.0,subaru,wrx,2017,268.0,4.0,Compact,Sedan,32195
23,2.0,subaru,wrx,2017,268.0,4.0,Compact,Sedan,28995
23,2.0,subaru,wrx,2017,305.0,4.0,Compact,Sedan,35195
21,2.0,subaru,wrx,2017,305.0,4.0,Compact,Sedan,39995
21,2.0,subaru,wrx,2017,268.0,4.0,Compact,Sedan,26695
21,2.0,subaru,wrx,2017,268.0,4.0,Compact,Sedan,30195
21,2.0,subaru,wrx,2017,305.0,4.0,Compact,Sedan,39995
21,2.0,subaru,wrx,2017,268.0,4.0,Compact,Sedan,30995
21,2.0,subaru,wrx,2017,268.0,4.0,Compact,Sedan,32195
21,2.0,subaru,wrx,2017,268.0,4.0,Compact,Sedan,28995
21,2.0,subaru,wrx,2017,305.0,4.0,Compact,Sedan,35195
19,2.5,subaru,wrx,2017,305.0,4.0,Compact,Sedan,39995
19,2.5,subaru,wrx,2017,268.0,4.0,Compact,Sedan,26695
19,2.5,subaru,wrx,2017,268.0,4.0,Compact,Sedan,30195
19,2.5,subaru,wrx,2017,305.0,4.0,Compact,Sedan,39995
19,2.5,subaru,wrx,2017,268.0,4.0,Compact,Sedan,30995
19,2.5,subaru,wrx,2017,268.0,4.0,Compact,Sedan,32195
19,2.5,subaru,wrx,2017,268.0,4.0,Compact,Sedan,28995
19,2.5,subaru,wrx,2017,305.0,4.0,Compact,Sedan,35195
